IDTRANS,NSERIE,SERIE,NUMTIKET,NUMBARRA,NNUMBARRA,FECHA,JORNADA,CREDITO,NCREDITO,NUMCLIE,PUNTOVENTA,NPUNTOVENTA,NUMCUEN,NNUMCUEN,SERVICIO,NSERVICIO,ALMACEN,NALMACEN,CABIMPORTE,CABDESCUENTO,CABNETO,CAMARERO,NCAMARERO,MACROGRUPO,NMACROGRUPO,GRUPO,NGRUPO,FAMILIA,NFAMILIA,TIPOPRODUCTO,NTIPOPRODUCTO,PRODUCTO,NPRODUCTO,CANTIDAD,PRECIO,IVA,IMPORTE,IMPORTESINIVA,DESCUENTO,IMPORTEDESCUENTO,IMPORTESINIVADESCUENTO,ANULADA,FORMATO,NFORMATO,TIENDA,ESTABLECIMIENTO,CTACONTABLE,CECO,NIFCLIENTE,NOMBRECLIENTE,VENCIMIENTO,PROMOCION,COMENSALES,COSTE,OBSERVACIONES,Turno,Denominacion 2,Factura,Motivo
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Entr. Standard,,,,,2395,Anticipo Experiencia,-1.0,59.0,21.0,-59.0,-48.760331,-0.0,-59.0,-48.760331,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Entr. Standard,,,,,186,Entrada infantil,2.0,7.0,21.0,14.0,11.570248,0.0,14.0,11.570248,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Otros Merchandising,,,,,162,L43 STRAW BIO,2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Otros Merchandising,,,,,155,L43 NAPKIN,2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Guest Supplies,,,,,514,Zumo de melocoton,2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Entr. Standard,,,,,2599,Entrada visita premium exp43NEW,1.0,22.5,21.0,22.5,18.595041,0.0,22.5,18.595041,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Licor43,,,,,206,Cata L43 Original,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Licores RTE,,,,,716,Chupito crème brûlée,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Licor43,,,,,204,Chupito l43 chocolate,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Licor43,,,,,207,Mini Carajillo 43,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Licor43,,,,,208,Mini Ginger 43,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Otros Merchandising,,,,,162,L43 STRAW BIO,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Otros Merchandising,,,,,155,L43 NAPKIN,2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Guest Supplies,,,,,927,KIT VISITA PREMIUM,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,,,,1,Experiencia 43,,,1234,cliente contado,,,,1.21,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Guest Supplies,,,,,128,TASTING GLASS 2CL,2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Entr. Standard,,,,,2611,Entrada visita premium PRESENTACION NEW,1.0,22.5,21.0,22.5,18.595041,0.0,22.5,18.595041,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Cocteles clásicos con nuestro twist,,,,,703,Coctel ginger 43,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Cocteles clásicos con nuestro twist,,,,,704,Coctel Carajillo 43,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Guest Supplies,,,,,927,KIT VISITA PREMIUM,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,,,,1,Experiencia 43,,,1234,cliente contado,,,,1.21,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Otros Merchandising,,,,,155,L43 NAPKIN,2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Otros Merchandising,,,,,162,L43 STRAW BIO,2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Licor43,,,,,204,Chupito l43 chocolate,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4971,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Licores RTE,,,,,716,Chupito crème brûlée,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4972,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Entr. Standard,,,,,2395,Anticipo Experiencia,-1.0,45.0,21.0,-45.0,-37.190083,-0.0,-45.0,-37.190083,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
,,5,4972,2,Degustación Experiencia 43 Fábrica,1/8/2025 00:00,1/8/2025,,,1,,,,,3,EXPERIENCIA,,,0.0,,0.0,,,,,,Entr. Standard,,,,,2599,Entrada visita premium exp43NEW,2.0,22.5,21.0,45.0,37.190083,0.0,45.0,37.190083,,,,1,Experiencia 43,,,1234,cliente contado,,,,,,,,,
